Code,Area,1996,,,,1997,,,,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,
E09000021,Kingston upon Thames,"82,500","88,000","87,500","86,000","92,000","88,625","94,495","104,000","100,000","110,625","114,950","106,500","111,500","122,000","134,950","140,000","142,500","153,250","156,000","162,000","155,500","167,000","172,000","180,000","179,000","193,250","204,500","214,000","205,000","215,000","220,000","220,000","219,000","235,000","245,000","237,500","240,000","235,000","245,000","233,550","239,950","249,950","260,000","265,000","265,500","289,975","304,975","297,500","289,000","285,000","300,000","250,000","250,000","250,000","280,000","280,000","300,000","290,000","310,000","309,950","294,000","293,750","306,000","300,000","285,000","340,000","320,000","321,000","321,250","330,000","340,000","345,625","360,000","382,500","395,000","399,950","395,000","400,000","430,000"
E09000022,Lambeth,"65,250","74,500","75,500","76,500","78,000","84,500","87,975","87,125","90,000","106,000","110,000","100,000","103,000","114,305","135,000","127,000","139,995","164,725","163,000","160,000","160,000","177,000","176,375","170,000","170,000","188,000","206,000","206,495","195,000","197,500","210,000","204,000","210,000","220,000","230,000","220,000","217,500","225,000","235,000","234,975","233,000","246,500","249,950","249,995","255,000","280,000","295,000","280,000","281,000","278,000","285,000","250,000","262,250","250,000","280,000","290,000","300,000","305,000","313,000","290,000","293,500","308,500","320,500","309,950","288,250","330,000","337,500","327,975","320,000","335,000","362,000","380,000","395,000","425,000","420,000","430,000","436,500","440,000","490,000"
E09000023,Lewisham,"55,000","56,950","58,500","58,500","59,995","62,000","64,995","67,000","69,250","70,000","75,000","72,000","72,500","80,000","85,000","85,000","90,725","99,250","107,000","105,000","109,000","118,000","128,000","125,000","128,000","139,000","154,000","153,250","155,000","162,000","167,000","170,000","170,000","178,000","185,000","185,000","175,000","184,973","189,998","189,973","187,500","205,000","209,000","208,000","212,500","215,000","234,500","232,495","230,000","227,750","232,000","211,500","205,000","217,250","224,000","214,375","235,000","235,000","238,000","230,000","237,750","234,500","246,000","240,000","235,000","250,000","250,000","250,000","245,000","250,000","266,000","275,000","286,750","315,000","325,000","328,000","323,250","345,000","380,000"
E09000024,Merton,"75,000","79,000","83,000","80,000","80,000","84,000","89,000","86,000","93,000","97,000","98,975","96,950","107,500","119,950","123,000","125,000","137,000","144,000","142,000","136,950","153,000","157,000","169,000","163,000","166,000","185,000","190,000","195,500","195,000","195,000","206,000","205,000","210,000","229,200","235,400","225,000","224,000","230,000","240,000","231,613","234,000","245,000","245,850","245,000","250,000","257,000","270,000","270,000","280,000","269,500","250,000","250,000","246,200","234,950","265,000","268,000","292,500","280,000","298,225","285,000","278,000","281,250","318,500","285,000","250,000","300,000","311,250","295,000","292,000","324,975","330,000","329,950","350,000","395,000","407,500","380,000","381,000","400,000","433,000"
E09000025,Newham,"46,500","48,000","50,000","52,500","52,000","55,000","58,000","59,000","60,000","61,000","64,500","66,000","65,000","68,000","72,500","80,000","85,000","89,995","94,000","99,000","96,748","106,000","112,000","124,995","125,000","137,500","145,500","158,000","160,000","172,000","173,000","180,000","179,000","185,850","190,000","194,000","192,750","192,500","200,000","200,000","205,000","210,000","216,000","215,000","220,000","230,000","237,000","235,000","245,000","245,000","215,000","200,000","205,000","195,250","196,000","196,500","219,500","220,000","227,000","215,000","210,000","215,000","220,000","220,000","216,000","220,000","215,000","222,625","227,000","223,500","231,000","235,000","240,000","259,500","270,000","270,000","280,000","294,000","305,000"
E09000026,Redbridge,"70,000","69,000","71,875","74,000","74,000","75,000","78,500","80,000","83,000","85,000","86,500","85,000","90,000","94,000","102,000","103,625","110,000","117,500","124,995","124,000","126,000","135,000","142,000","145,000","144,995","163,000","175,000","183,000","188,000","190,000","199,475","205,000","209,000","220,000","230,000","222,500","221,500","222,000","230,000","230,975","225,000","236,000","245,000","247,000","249,995","250,000","262,250","261,750","270,000","259,950","250,000","235,000","215,000","230,000","240,000","233,000","245,000","236,750","265,000","268,125","250,000","250,000","260,000","261,000","250,000","274,000","270,000","268,000","260,000","270,000","285,000","275,000","285,000","291,000","315,000","320,000","320,000","342,000","360,000"
E09000027,Richmond upon Thames,"117,250","117,000","119,950","119,000","125,000","131,950","140,050","143,000","150,000","153,500","160,000","162,500","168,000","170,000","190,000","193,000","202,000","219,973","227,000","218,000","215,000","220,000","235,000","225,000","237,500","244,950","264,950","269,950","250,000","250,000","280,000","270,000","278,000","299,950","304,500","289,950","290,000","302,000","300,000","300,000","315,000","313,000","342,000","350,000","349,950","375,000","398,950","402,125","377,000","390,000","385,000","320,000","340,000","350,000","390,000","409,500","395,000","390,000","417,500","395,000","400,000","412,750","460,000","400,000","415,000","425,000","450,000","431,000","445,000","475,000","480,000","485,000","475,000","550,000","565,000","546,475","550,000","570,000","620,000"
E09000028,Southwark,"65,495","72,000","74,572","71,000","75,998","85,000","87,000","87,985","88,500","100,000","104,725","100,250","105,000","112,000","129,950","130,000","146,000","145,000","164,750","170,000","176,250","182,000","178,000","180,000","175,500","195,000","192,000","195,000","192,500","200,000","212,000","218,250","205,000","225,000","228,000","230,000","228,000","240,000","240,000","240,000","235,000","242,500","249,950","250,000","250,000","275,000","288,000","290,000","273,000","280,000","294,000","275,000","280,000","290,000","285,000","285,000","285,000","316,500","325,000","320,000","310,000","325,000","336,000","311,500","310,000","340,000","345,000","340,000","307,750","363,500","345,000","365,000","376,278","420,000","430,000","443,975","430,000","470,000","500,000"
E09000029,Sutton,"63,700","68,000","71,725","70,000","69,000","73,000","75,000","80,000","81,250","83,950","85,725","88,000","90,000","95,000","97,700","104,500","107,950","120,000","120,000","125,000","120,000","127,500","136,000","139,950","137,500","155,000","161,250","165,000","172,500","178,000","173,750","178,000","169,950","186,000","195,000","194,825","197,000","198,000","206,600","200,000","205,000","211,000","210,000","216,500","219,950","229,000","240,000","246,973","240,000","242,500","222,500","211,250","209,500","214,850","219,975","206,500","231,500","234,950","235,000","243,750","226,000","230,000","235,000","236,500","230,000","240,000","247,000","245,000","245,000","250,000","250,000","249,950","263,000","279,000","295,000","305,000","300,000","320,000","320,000"
E09000030,Tower Hamlets,"68,500","67,445","84,000","84,000","90,000","90,000","96,250","99,950","98,475","117,950","114,975","122,000","124,000","133,000","152,750","145,000","142,000","165,000","174,475","169,998","172,500","190,000","185,000","180,000","185,000","200,000","205,000","211,500","198,500","210,000","200,000","222,500","209,500","235,500","240,000","235,000","240,000","239,995","235,000","230,000","237,500","245,000","249,999","250,000","250,000","295,000","299,950","300,000","300,000","305,000","290,000","265,000","269,788","290,000","286,000","300,000","310,000","291,635","310,000","305,000","295,000","299,250","300,000","300,000","277,000","310,000","312,500","312,500","300,000","325,000","325,000","350,000","375,000","382,650","390,200","385,000","380,000","425,000","425,000"
